food_number,food_name,types_cooking,ingredient_main,ingredient_sub,seasoning,national_classification,kcal
238,오징어젓갈,"밑반찬,김치",오징어 1마리,"소금 3큰술, 고춧가루 2큰술, 다진마늘 1/2큰술, 다진생강 1/4큰술, 다진파 1큰술",,한식,54kcal
239,잔멸치된장볶음,"밑반찬,김치","잔멸치 100g, 된장 1작은술, 밥 4공기","식용유 1큰술, 상추 2장","다진마늘 1/2작은술, 맛술 1/2큰술, 간장 1작은술, 설탕 2큰술, 깨소금 약간",한식,75kcal
240,잔멸치파래튀김,"밑반찬,김치","잔멸치 200g, 파래김 100g","계란 1개, 밀가루 적당량, 물 1컵, 튀김기름 적당량",소금 약간,한식,114kcal
241,채소피클깻잎말이,"밑반찬,김치","오이 1/2개, 무 1/6개, 당근 1/2개, 깻잎 15장, 미나리 1/3단","[배합초] 식초 12큰술, 설탕 12큰술, 소금 2큰술","[겨자소스] 겨자, 식초 1큰술, 설탕 1큰술, 물 1큰술, 소금 약간",한식,62kcal
242,콩나물무침,"밑반찬,김치",콩나물 600g,"다진파 1큰술, 다진마늘 1과1/2작은술, 깨소금 2큰술, 참기름 1큰술, 실고추 약간, 소금 약간, 후춧가루 약간",,한식,82kcal
243,콩나물미나리무침,"밑반찬,김치","콩나물 40g, 미나리 3줄기","고춧가루 1큰술, 소금 약간, 참기름 약간, 깨소금 약간, 다진파 약간, 다진마늘 약간",,한식,75kcal
244,통마늘장아찌,"밑반찬,김치",통마늘 20쪽,"식초 적당량, 멸치(육수) 1/2컵","설탕 1/3컵, [절임간장] 진간장 5컵, 설탕 1/2컵, 식초 1/2컵",한식,56kcal
245,파래무침,"밑반찬,김치",파래 50g,당근 10g,"간장 1큰술, 설탕 2큰술, 식초 1과1/2큰술, 참기름 약간, 깨소금 약간",한식,38kcal
246,향신양념무장아찌,"밑반찬,김치",무 600g,홍고추채 약간,"간장 1컵, 향신즙 3큰술, 향신장 1/2컵, 물엿 3큰술, 통깨 약간, 참기름 약간",한식,70kcal
247,향신양념콩나물무침,"밑반찬,김치",콩나물 150g,"파채 약간, 홍고추채 약간","물 1/2컵, 향신즙 1/2큰술, 꽃소금 1/2큰술, 향신유 1/2큰술, 소금 1/2큰술, 참기름 약간",한식,45kcal
248,홍차계란장조림,"밑반찬,김치","홍차티백 4개, 계란 5개","물 2컵, 양파 ½개, 마늘 2쪽","간장 2큰술, 소금 1/2작은술, 설탕 1과1/2큰술, 물엿 2큰술",한식,130kcal
249,가래떡꼬치,"도시락,간식",가래떡 1줄,"적파프리카 1/2개, 황파프리카 1/2개, 브로콜리 약간","고추장 1큰술, 간장 1작은술, 다진마늘 1작은술, 토마토케첩 1큰술, 설탕 2작은술, 참기름 1작은술, 꼬치 3개",한식,179kcal
250,고구마맛탕,"도시락,간식",고구마 300g,"식용유 5컵, 검은깨 1작은술","설탕 1컵, 물엿 1큰술, 물 1컵",한식,420kcal
251,밤맛탕,"도시락,간식","밤 20알, 설탕 1/2컵",물 1컵,,한식,320kcal
252,사과탕,"도시락,간식",사과 1개,"튀김가루 3큰술, 계란 1/2개, 튀김가루 3큰술, 물 1큰술","식용유 1큰술, 설탕 4큰술, 물 4큰술",한식,160kcal
253,오색주먹밥도시락,"도시락,간식","쌀 2와1/2컵, 다진쇠고기(우둔) 20g, 표고버섯 2장, 멸치 10g, 단무지 10g, 김치 20g","다시마(10cm x 10cm) 1장, 청주 1작은술, 소금 약간","식초 4큰술, 설탕 3큰술, 간장 약간, 물엿 약간, 후춧가루 약간, 깨소금 약간, 참기름 약간, 고춧가루 약간",한식,385kcal
254,주먹밥,"도시락,간식","밥 300g, 쇠고기(안심) 100g","당근 30g, 식용유 약간, 상추 2장, 파슬리 10g, 토마토 1개, 청피망 30g","소금 약간, 간장 1큰술, 설탕 1/2큰술, 다진파 2작은술, 다진마늘 1작은술, 참기름 1작은술, 후춧가루 약간, 깨소금 약간",한식,350kcal
255,불고기양념,양념장,"간장 1/2컵, 배 1/2개","양파 1/4개, 다진마늘 1큰술, 다진파 1큰술, 다진생강 1작은술","설탕 2큰술, 물엿 1작은술, 깨소금 1큰술, 참기름 1큰술",한식,86kcal
256,쌈장,양념장,고추장 1큰술,"양파 1/4개, 마늘 5톨, 파 1/5뿌리","고춧가루 1큰술, 참기름 1작은술",한식,40kcal
257,약고추장,양념장,"고추장 1컵, 다진쇠고기(안심) 80g",배 1/4개,"설탕 1과1/2큰술, 참기름 1큰술, [쇠고기 양념] 간장 1큰술, 설탕 1작은술, 다진파 1작은술, 청주 1작은술, 참기름 약간, 다진마늘 1/2큰술",한식,200kcal
258,개성주악,"떡,한과","찹쌀 1kg, 밀가루 1컵, 막걸리 1컵, 뜨거운 물 1큰술","식용유 500ml, 대추 3개, 호박씨 약간, 물 1컵, 생강 5개","소금 2작은술, 설탕 2/3컵, 조청 5컵",한식,536kcal
259,건포도강정,"떡,한과","건포도 1/2컵, 땅콩, 아몬드, 호두, 깨 1 1/2컵","[시럽] 물엿 1/2컵, 설탕 1/4컵, 식용유 1큰술, 계핏가루 1큰술",,한식,210kcal
260,건포도오색경단,"떡,한과",찹쌀가루 2컵,"설탕 2큰술, 끓는물 4큰술, 녹말가루 3큰술, [속재료] 건포도 30g, 잣 1큰술","[고물] 대추(돌려깎은것) 1/3컵, 푸른콩가루 5큰술, 건포도가루 1/3컵, 노란색 카스텔라 1/2컵, 오렌지색 카스텔라 1/2컵",한식,345kcal
261,사색경단,"떡,한과",찹쌀가루 2컵,"물(뜨거운것) 4큰술, 콩가루 1/4컵, 흑임자가루 1/4컵, 인절미가루 1/4컵, 카스테라가루 1/4컵","소금 1/2작은술, 꿀 3큰술",한식,240kcal
262,삼색매작과,"떡,한과","밀가루 3컵, 다진생강 1큰술, 파래가루 1큰술, 보리새우 1큰술","물 10큰술, 청정원 참빛고운 포도씨유 약간, 잣가루 1큰술, 녹말 3큰술","소금 1과 1/2작은술, 집청시럽 1컵",한식,523kcal
263,新고구마경단,"떡,한과","고구마 2개, 인절미 적당량, 카스테라 1개","호박씨 20개, 대추 1개","소금 약간, 계핏가루 약간, 청정원쌀올리고당 1큰술",한식,256kcal
264,아몬드녹차설기,"떡,한과",멥쌀가루 5컵,"아몬드 1/2컵, 건포도 4큰술, 녹차가루 약간","소금 1과1/2작은술, 설탕 2큰술",한식,317kcal
265,인절미,"떡,한과",찹쌀 1/4되,콩 1/2컵,소금 1큰술,한식,175kcal
266,찬밥인절미,"떡,한과",찬밥 3공기,콩가루 1컵,소금 약간,한식,425kcal
267,화전,"떡,한과",찹쌀가루 160g,"물 5큰술, 대추 6알, 쑥갓 5잎, 식용유 약간","설탕 3큰술, 물 3큰술",한식,200kcal
268,화전,"떡,한과",찹쌀가루 160g,"대추 2알, 쑥갓 약간, 식용유 적당량","소금 약간, 설탕 3큰술, 물 3큰술",한식,230kcal
269,미모사케이크,"빵,과자",박력분 350,"설탕 270g, 버터 92g, 우유 1컵, 바닐라에센스 약간, 생크림 1컵, 분설탕 50g, 시럽 2큰술, 계란 2개","설탕 60g, 버터 25g, 우유 20ml, 계란노른자 2개, 바닐라에센스 약간, 커스터드크림 200g",한식,397kcal
270,과일팥빙수,음료,"얼음 8개, 팥 2큰술","수박 50g, 키위 1개, 방울토마토 3개","우유 1/4컵, 연유 1큰술",한식,260kcal
271,대추생강차,음료,"대추 10개, 생강 1개, 꿀 약간",물 6컵,,한식,95kcal
272,대추차,음료,대추 20알,물 6컵,"설탕 약간, 꿀 약간",한식,53kcal
273,배숙,음료,배 1/4개,잣 약간,"통후추 약간, 생강 1쪽, 흑설탕 1/2작은술, 흰설탕 3큰술, 물 1과1/2컵",한식,135kcal
274,생강차,음료,생강 6쪽,물 6컵,"설탕 약간, 꿀 약간, 잣 약간, 대추채 약간",한식,53kcal
275,수박화채,음료,수박 1/4통,"물 4컵, 잣 1큰술","생강 40g, 설탕 1/2컵",한식,124kcal
276,수정과샤베트,음료,수정과 2컵,"잣 8개, 곶감 1개, 호두 2알",,한식,140kcal
277,오과차,음료,"황률(말린밤) 10개, 대추 10개, 말린인삼 1뿌리","계피 10g, 진피(귤피말린 것) 10g, 물 20컵",,한식,45kcal
278,유자차,음료,유자 1kg,잣 약간,설탕 1kg,한식,53kcal
279,젤리팥빙수,음료,"우유 200ml, 팥(조린것) 3큰술","연유 2큰술, 젤리 1큰술",,한식,450kcal
280,감자수제비,"만두,면류","밀가루 4컵, 감자 2개","애호박 1/2개, 실파 2뿌리, 홍고추 1개","멸치 10마리, 물 1컵, 양념장 적당량, 국간장 약간, 참기름 약간, 소금 약간",한식,410kcal
281,고덕칡냉면,"만두,면류","양지머리 30g, 칡냉면 150g","북어 30g, 양파 1/2개, 무 20g, 사과 적당량, 배 적당량, 오이 적당량, 계란(완숙) 1/2개","다시마 15x15cm, 고춧가루 2큰술, [다대기양념장] 양파 1/2개, 무 20g, 고춧가루 2큰술",한식,325kcal
282,고추장볶음칼국수,"만두,면류","생칼국수 150g, 느타리버섯 40g, 오징어 1/2마리","양배추 5잎, 양파 1/2개, 당근 1/4개, 깻잎 5장, 대파 1대, 고추 1개, 식용유 약간","고추장 2큰술, 다진마늘 2큰술, 고춧가루 1큰술, 물엿 1큰술, 다진파 1큰술, 참기름 1큰술, 깨소금 1큰술, 설탕 1/2큰술, 후춧가루 약간",한식,386kcal
283,고추장얼큰라면,"만두,면류","라면 2개, 고추장 1/2큰술","애호박 1/3개, 느타리버섯 40g, 홍고추 1개, 대파 1뿌리","라면스프 1/2개, 다시마 10g, 굵은멸치 약간, 양파 1/2개, 고춧가루 1작은술",한식,465kcal
284,국수냄비,"만두,면류","사태 400g, 가래떡 200g, 국수 200g","양파 1개, 당근 1/2개, 표고버섯 4개, 실파 20뿌리, 계란 2개, 쑥갓 2개, 청정원장국 약간","소금 약간, 후춧가루 약간",한식,345kcal
285,김치수제비,"만두,면류","밀가루 2컵, 계란 1개, 식용유 1작은술, 물 약간","김치 1/8포기, 감자 1개, 양파 1/2개, 청고추 2개, 대파 1뿌리","멸치 10마리, 다시마(10cm X 10cm) 2장, 국간장 약간, 소금 약간, [양념장] 진간장 3큰술, 다진파 1큰술, 다신마늘 1/2큰술, 깨소금 약간, 고춧가루 약간, 참기름 약간",한식,410kcal
286,냉소면,"만두,면류","소면 400g, 계란 2개, 꽃어묵(야마보고) 1개","방울토마토 4개, 다시마(10cm) 1쪽, 가쓰오브시 20g, 물 5컵","다시마(국물용) 2와1/2컵, 맛술 5큰술, 간장 5큰술, 땅콩버터 1/2컵",한식,260kcal
287,대대로닭칼국수,"만두,면류","날콩가루 100g, 밀가루 100g, 닭 1마리","닭발 2개, 통파 1대, 오이 1/4개","생강 적당량, 소금 적당량",한식,235kcal
288,된장채소수제비,"만두,면류","표고버섯 2개, 감자 1개, 밀가루 2컵","대파 1/2대, 양파 1/4개, 청고추 1/4개, 홍고추 1/4개, 물 5큰술, 된장 2큰술","국물용멸치 10마리, 물(육수용) 5컵, 다진마늘 1/2작은술, 참기름 1작은술, 국간장 1큰술, 소금 약간, 후춧가루 약간",한식,350kcal
289,미역수제비,"만두,면류","닭고기 500g, 미역 10g, 밀가루 1컵","마늘 4쪽, 대파 1뿌리, 생강 1톨, 소금 약간, 후춧가루 약간, 국간장 2큰술, 설탕 1작은술, 다진파 1/2큰술, 다진마늘 약간, 깨소금 약간",,한식,358kcal
290,바지락칼국수,"만두,면류","칼국수 300g, 바지락 200g, 애호박 1/4개",양파 1개,"다진마늘 1큰술, 맛술 1큰술, 청장 2큰술, 소금 약간, 후춧가루 약간",한식,420kcal
291,볶음유니자장,"만두,면류","국수(생면) 200g, 춘장 약간","양파 1개, 호박 1/5개, 다진고기 50g","다진생강 1큰술, 다진파 1큰술, 다진마늘 1큰술, 정종 1큰술, 굴소스 1큰술, 간장 1큰술, 설탕 약간, 참기름 약간, 식용유 약간, 녹말물 약간, 조미료 약간",한식,660kcal
292,비빔국수,"만두,면류",국수 400g,"쇠고기(우둔) 100g, 배추김치 1/4포기, 오이 1개, 계란 1개, 홍고추 1/2개","설탕 1큰술, 진간장 2큰술, 깨소금 1작은술, 참기름 1작은술",한식,630kcal
293,비빔쌀국수,"만두,면류",쌀국수 500g,"쇠고기(우둔) 200g, 양파 1/2개, 새우 8마리, 상추 8잎, 레몬 1개","육수 1과1/2컵, 간장 3큰술, 식초 1/4컵, 설탕 2큰술, 실파 1/2컵, 다진고추 2큰술, 소금 약간, 후추 약간, 다진마늘 1/2큰술, 다진파 1큰술",한식,275kcal
294,서리태콩국수,"만두,면류","서리태콩 1컵, 소면 150g","오이 1/4개, 토마토 1/4개, 참깨 1큰술",소금 약간,한식,489kcal
295,오징어무침냉면,"만두,면류","냉면국수 500g, 오징어 1마리, 오이 1개, 무 5cm토막, 다진파 1큰술","물 2큰술, 식초 2큰술, 소금 약간, 참기름 약간","설탕 2큰술, 고춧가루 6큰술, 고추장 2큰술, 꿀 1/2컵, 양파 1/2개, 사과 1/4개, 다진마늘 1큰술",한식,461kcal
296,온면,"만두,면류",국수 300g,"쇠고기(우둔) 50g, 계란 1개, 두부 1/2모, 석이버섯 10g, 실고추 약간, 물 6컵, 조개 200g, 육수 2L","소금 약간, 참기름 약간",한식,630kcal
297,유부만두탕,"만두,면류","유부 10장, 두부 1/2모, 배추김치 1/3포기, 쇠고기 50g","양파 1/2개, 느타리버섯 100g, 송이버섯 100g, 팽이버섯 1/2봉지, 청경채 2개, 쑥갓 2줄기, 무 1/4개, 호박 1/2개, 대파 1대, 청고추 1개, 다시마 10cm, 홍고추 1개","된장 1작은술, 간장 1큰술, 소금 약간, 후춧가루 약간",한식,264kcal
298,잔치국수,"만두,면류","쇠고기(우둔 또는 양지) 20g, 소면 300g","[멸치장국] 국멸치 5마리, 호박 25g, 당근 25g, 계란 1개, 소금 약간, 후춧가루 약간, 국간장 2큰술, 깨소금 약간, [불고기양념] 간장 1/2작은술, 설탕 1/2작은술, 참기름 1/2작은술","간장 4큰술, 고춧가루 2큰술, 다진파 1큰술, 참기름 1작은술",한식,315kcal
299,카레라면,"만두,면류","카레가루 30g, 라면 1개","쇠고기 50g, 양파 1/4개, 완두콩(통조림) 20g, 식용유 약간","소금 약간, 후춧가루(가루) 약간",한식,490kcal
300,해장라면,"만두,면류","라면 4개, 배추김치 1/4포기, 표고버섯 4개, 콩나물 50g, 햄 30g, 게맛살 2개","청고추 1개, 홍고추 1개, 당근 1/8개, 다진마늘 1큰술, 대파 1/2뿌리","고춧가루 2큰술, 참기름 약간, 깨소금 약간",한식,290kcal
301,갈치맑은찌개,"찌개,전골,스튜",갈치 4토막,"무 200g, 콩나물 50g, 대파 1/2개, 표고버섯 2개, 팽이버섯 1/2팩, 미나리 50g, 양파 1/2개, 애호박 1/3개, 두부 1/2개, 홍고추 1개, 청고추 1개, 모시조개 2개, 쑥갓 50g","생강 2작은술, 후춧가루 1작은술, 정종 1큰술, 소금 1큰술",한식,230kcal
302,굴북어찌개,"찌개,전골,스튜","굴 150g, 북어 1/4마리","두부 1/4모, 대파 약간, 홍고추 약간","마늘 1개, 간장 약간, 소금 약간, 후춧가루 약간, 물 4컵",한식,115kcal
303,김치찌개,"찌개,전골,스튜","배추김치 1/4포기, 대파 1뿌리","청고추 1개, 홍고추 1개, 다시마(10cm x 10cm) 1장, 멸치 한줌, 무 1/4개, 물 4컵","생강즙 1/2작은술, 다진마늘 1큰술, 참기름 1작은술, 고춧가루 3큰술, 청주 2큰술",한식,189kcal
304,낙지연포탕,"찌개,전골,스튜","낙지 2마리, 모시조개 5개","배추 3잎, 대파 1/2뿌리, 소금 1/2컵","참기름 1큰술, 다진마늘 1/2큰술, 청고추 1개, 홍고추 1개, 소금 약간",한식,152kcal
305,대구지리탕,"찌개,전골,스튜",대구 1마리,"배춧잎 12장, 청경채 4개","국간장 1큰술, 정종 4큰술, 물 8컵, 소금 약간",한식,89kcal
306,동태찌개,"찌개,전골,스튜","동태 1마리, 무 300g","애호박 1/2개, 두부 1/2모, 청고추 3개, 홍고추 3개, 대파 1뿌리, 물 5컵","고추장 4큰술, 고춧가루 1큰술, 다진마늘 2큰술, 다진생강 1작은술, 소금 약간",한식,125kcal
307,된장찌개,"찌개,전골,스튜","두부 1/2모, 순창콩된장 50g","표고버섯 1장, 애호박 1/4개, 청고추 1개, 홍고추 1/2개, 대파 1/2뿌리","멸치 한줌, 다시마(10cm x 10cm) 1장, 고춧가루 1작은술, 다진마늘 1작은술, 참기름 약간",한식,136kcal
308,두부젓국찌개,"찌개,전골,스튜","두부 1/2모, 된장 50g","새우 30g, 조개 30g, 양파 1/2개, 애호박 1/4개, 청고추 1개, 홍고추 1/2개, 대파 1/2뿌리","고춧가루 1작은술, 다시마(10cm x 10cm) 1장, 멸치 한줌, 다진마늘 1작은술, 참기름 약간, 새우젓 약간, 후춧가루 약간, 맛술 약간, 소금 2작은술",한식,136kcal
309,모시조개탕,"찌개,전골,스튜",모시조개 400g,"실파 1뿌리, 물 6컵",소금 약간,한식,100kcal
310,버섯두부찌개,"찌개,전골,스튜","두부 1모, 돼지고기 50g, 느타리버섯 50g, 표고버섯 2장, 팽이버섯 50g","김치 100g, 양파 1/2개, 청고추 1개, 대파 1/2뿌리, 물 1/4컵","고춧가루 1큰술, 간장 1큰술, 다진양파 1/4개, 다진파 1큰술, 다진마늘 1/2큰술, 깨소금 1큰술, 후춧가루 약간, 참기름 약간",한식,170kcal
311,버섯탕,"찌개,전골,스튜","표고버섯(말린것) 3개, 새송이 2개, 청경채 1송이","토마토 1개, 홍고추(마른것) 1개","다시마(10cm x 10cm) 1장, 녹말가루 2큰술, 간장 1큰술, 참기름 약간, 식용유 약간, 설탕 약간, 소금 약간",한식,328kcal
312,부대찌개,"찌개,전골,스튜","햄 150g, 프랑크소시지 2개, 김치 1/2포기","베이컨 5장, 두부 1/3모, 홍고추 2개, 청고추 2개, 깻잎 10장, 스파게티 50g, 쑥갓 약간, 양송이버섯 2개, 물 4컵","고춧가루 3큰술, 고추장 1작은술, 설탕 1큰술, 다진파 1큰술, 다진마늘 1작은술",한식,125kcal
313,순두부찌개,"찌개,전골,스튜",순두부 800g,"돼기고기 100g, 바지락 200g, 배추김치 200g, 양파 1/2개, 대파 1/2뿌리, 계란 4개, 식용유 약간, 물 3컵","고춧가루 2큰술, 다진마늘 1큰술, 소금 약간, 후춧가루(가루) 약간",한식,133kcal
314,애호박된장찌개,"찌개,전골,스튜","애호박 150g, 두부 150g, 된장 1/2컵","쇠고기 100g, 감자 1개, 양파 1/2개, 청고추 2개, 대파 1/2뿌리, 물 4컵","고춧가루 1/2큰술, 다진마늘(다진것) 2큰술, 소금 약간, 멸치 20g",한식,174kcal
315,얼큰어묵탕,"찌개,전골,스튜","어묵 1팩, 무 1/3개","다시마 1장, 대파 1뿌리","고춧가루 2큰술, 청정원맛선생 약간, 다진마늘 1작은술",한식,85kcal
316,오징어섞어찌개,"찌개,전골,스튜","오징어 1마리, 두부 1/2모, 모시조개 5개, 김치 30g","대파 15g, 홍고추 1/2개, 쑥갓 약간, 청고추 1개, 양파 1개, 호박 1개","다진마늘 약간, 생강 약간, 간장 1큰술, 고춧가루 1큰술, 소금 약간, 후춧가루 약간, 다진파 약간, 맛술 약간",한식,369kcal
317,오징어찌개,"찌개,전골,스튜","오징어 1마리, 쇠고기(우둔) 100g","풋고추 1개, 홍고추 1개, 대파 1/3대, 물 3컵","간장 1작은술, 후춧가루 약간, 고추장 2큰술, 고춧가루 1/2큰술, 마늘 2작은술, 참기름 1/4작은술",한식,235kcal
318,조기매운탕,"찌개,전골,스튜",조기 2마리,"무 100g, 양파 1개, 대파 1뿌리, 물 10컵","마늘 3쪽, 생강 1쪽, 간장 3큰술, 고추가루 3큰술, 소금 약간",한식,156kcal
319,참치김치찌개,"찌개,전골,스튜","김치 1/4포기, 참치 1캔","양파 1/2개, 대파 1뿌리, 홍고추 1/2개, 팽이버섯 1/2봉지, 두부 1/4모, 청고추 1/2개","고춧가루 1작은술, 소금 약간, 참기름 약간",한식,186kcal
320,청국장찌개,"찌개,전골,스튜","청국장 1컵, 쇠고기(우둔) 100g, 무 1/6개","배추김치 1/4포기, 두부 1/2모, 대파 1/2뿌리, 물 4컵","다진마늘 1큰술, 김칫국물 약간, 소금 약간",한식,117kcal
321,해물지지기,"찌개,전골,스튜","새우 2마리, 모시조개 100g, 오징어 1/2마리","두부 1/모, 청고추 1개, 홍고추 1개, 대파 1/2뿌리, 미나리 30g, 식초 1작은술","다시마 1토막, 된장 1큰술, 고춧가루 1큰술, 다진마늘(다진것) 약간, 다진생강(다진것) 약간, 소금 약간, 후춧가루 약간, 맛술 약간",한식,364kcal
322,호박두부찌개,"찌개,전골,스튜","호박 1개, 두부 1/2모","파 1/2뿌리, 청고추 3개, 물 3컵, 식용유 약간","새우젓 2큰술, 다진마늘 1큰술, 소금 약간, 참기름 약간",한식,115kcal
323,계란말이,부침,계란 4개,"다진파 1큰술, 다진마늘 1작은술, 물 1컵, 식용유 2큰술, 다시마 5cm","소금 1작은술, 후춧가루 약간",한식,110kcal
324,고구마전,부침,"밀가루 4큰술, 계란 2개, 홍고추 1/2개",소금 약간,,한식,150kcal
325,고추장떡,부침,"밀가루 2컵, 고추장 1큰술, 된장 1큰술, 부추 1/4단","청고추 2개, 홍고추 1개",고춧가루 2작은술,한식,274kcal
326,굴청경채부침개,부침,생굴(중) 20개,"마(15cm) 1대, 청경채 1개, 배춧잎 3장, 백김치 50g, 기름(부침용) 약간","소금 1/4작은술, 후춧가루 약간",한식,188kcal
327,김치동그랑땡,부침,"김치 1/6포기, 감자 1개, 두부 1/4모","당근 1/4개, 피망 1/2개, 계란 1개, 밀가루 5큰술, 참빛고운포도씨유 약간","다진마늘 약간, 소금 약간, 후춧가루 약간",한식,235kcal
328,김치적,부침,"김치 200g, 쇠고기(우둔) 100g, 표고버섯 5장, 통도라지 100g","밀가루 1/2컵, 계란 3개, 식용유 3큰술","참기름 약간, 소금 약간",한식,350kcal
329,김치콩비지전,부침,"콩비지 1컵, 밀가루 1컵, 베이컨 2장, 대파 1뿌리, 김치 1/6포기","홍고추 1/2개, 청고추 1/2개, 다진마늘 1작은술, 계란노른자 1개","식용유 약간, 물 1/2컵, 소금 1/2작은술",한식,274kcal
330,누룽적,부침,"느타리버섯 30g, 쇠고기(우둔) 50g, 도라지 50g, 실파 10뿌리","밀가루 1컵, 물 약간, 소금 1/3작은술, 계란 3개, 꼬치 약간","다진마늘 1작은술, 간장 1/2작은술, 청주 약간, 설탕 약간, 참기름 약간",한식,274kcal
331,달래굴파전,부침,"달래 100g, 굴 80g, 밀가루 1컵","청고추 1/2개, 홍고추 1/2개, 계란 1개, 물 2/3컵, 실파 약간","간장 1큰술, 식초 1작은술, 다진마늘 약간, 깨소금 약간",한식,189kcal
332,달래지짐,부침,달래 100g,"미나리 50g, 밀가루 1/2컵, 녹말 1/2컵, 물 1컵, 홍고추 1개, 식용유 약간, 계란 1개",소금 약간,한식,240kcal
333,대구전,부침,대구살 200g,"계란 1개, 밀가루 2큰술, 쑥갓 약간, 식용유 약간","소금 약간, 후춧가루 약간",한식,166kcal
334,대구전,부침,대구(냉동) 400g,"밀가루 1/2컵, 계란 2개, 올리브오일 적당량","소금 약간, 후춧가루 약간",한식,166kcal
335,대파산적,부침,"대파 3대, 고기(산적용) 200g",기름(부침용) 약간,"소금 약간, 후춧가루 약간",한식,234kcal
336,동그랑땡,부침,"두부 1/4모, 쇠고기(등심, 사태) 100g","부침가루 2큰술, 파 1/4뿌리, 당근 1/2개, 양파 1/2개, 계란 1개, 계란노른자 1개, 다진마늘 1작은술","후춧가루 1/5작은술, 참기름 1/3작은술, 정종 1작은술, 소금 1/4작은술, 깨소금 1/4작은술",한식,246kcal
337,두부완자전,부침,"두부 1/4모, 쇠고기(등심) 100g","다진마늘 1작은술, 계란노른자 1개, 당근 1/2개, 양파 1/2개, 파 1/4뿌리, 부침가루 2큰술","참기름 1/3작은술, 소금 1/4작은술, 후추 1/5작은술, 깨소금 1/4작은술, 청주 1작은술",한식,375kcal
338,두부전,부침,두부 1/2모,"계란 1과1/2개, 실파 2뿌리, 카놀라유 약간",소금 약간,한식,98kcal
339,두부파프리카전,부침,"두부 반모, 파프리카 2개","포도씨유 약간, 칵테일새우 30g, 간장 약간, 식초 약간","소금 약간, 후춧가루 약간",한식,96kcal
340,모듬전,부침,"감자 1개, 양파 1개, 밀가루 1/3컵, 깻잎 6장","부추 약간, 물 약간, 식용유 약간, 쇠고기 40g, 두부 20g, 표고버섯 1/4개, 계란 1개","소금 약간, 간장 2큰술, 설탕 1큰술, 다진파 1큰술, 다진마늘 1작은술, 참기름 약간",한식,210kcal
341,부추부침개,부침,"밀가루 1컵, 찹쌀가루 4큰술, 부추 200g, 청고추 10개, 오징어 1마리","계란 2개, 물 1컵, 식용유 적당량",,한식,586kcal
342,산적,부침,"쇠고기 50g, 느타리버섯 30g, 실파 10뿌리, 도라지 50g","다진마늘 약간, 다진파 1/2작은술, 간장 1작은술, 설탕 1/2작은술, 참기름 약간","소금 약간, 꼬치 4개",한식,274kcal
343,"삼색전(고등어,갈치,새우)",부침,"고등어 1/4마리, 갈치 1/2마리, 새우 3마리","밀가루 80g, 계란 2개, 파슬리 약간","소금 약간, 후춧가루 약간, 레몬즙 약간",한식,240kcal
344,생선감자채구이,부침,"동태 1마리, 감자 1개","밀가루 1큰술, 기름 약간","소금 약간, 흰후추 약간",한식,198kcal
345,생선전,부침,대구살 200g,"계란 1개, 쑥갓 약간, 밀가루 약간, 식용유 적당량","소금 약간, 후춧가루 약간",한식,166kcal
346,스위트콘참치전,부침,"옥수수통조림 1/2캔, 전분 1/2컵, 참치통조림 1캔","양파 1/2개, 계란 1개, 청고추 1개, 포도씨유 약간, 홍고추 1개","맛술 2작은술, 소금 약간, 후춧가루 약간",한식,159kcal
347,시금치계란말이,부침,"시금치 20g, 계란 3개","게맛살 2개, 올리브오일 2큰술",소금 약간,한식,109kcal
348,양파전,부침,양파 2개,"다진쇠고기 50g, 두부(다진것) 1/4모, 밀가루 약간, 계란 1개, 홍고추 1/2개","다진파 1작은술, 다진마늘 1작은술, 깨소금 약간, 소금 약간, 참기름 약간, 후춧가루 약간",한식,165kcal
349,연근전,부침,"연근 50g, 계란 1개","감자전분 1큰술, 물 2컵, 식용유 약간",소금 1큰술,한식,320kcal
350,오징어채소부침,부침,"오징어 1마리, 쇠고기 100g, 감자 3개","양파 1/2개, 당근 1/3개, 대파 1뿌리, 밀가루 1컵, 식용유 약간",소금 약간,한식,980kcal
351,찬밥전,부침,"찬밥 1공기, 참치(통조림) 1/2통, 양파 1/4개, 당근 1/4개","실파 약간, 청고추 1개, 계란 1개, 밀가루 약간, 식용유 약간","소금 약간, 후춧가루 약간",한식,146kcal
352,찬밥지짐이,부침,찬밥 1공기,"양파 1/4개, 당근 30g, 실파 2뿌리, 두부 50g, 계란 1개, 날콩가루 약간, 식용유 약간","소금 약간, 후춧가루 약간",한식,450kcal
353,참치완자전,부침,"두부 1모, 참치 80g, 깻잎 10장","밀가루 1/2컵, 계란 2개, 식용유 약간","다진파 1큰술, 다진마늘 1큰술, 소금 약간, 후춧가루 약간, 깨소금 약간, 참기름 1/2컵",한식,380kcal
354,참치채소전,부침,"참치캔 1개, 계란 1개, 청고추 1개, 홍고추 1개",양파 1/4개,"소금 약간, 후춧가루 약간",한식,250kcal
355,채소감자지짐,부침,감자 2개,"계란 1개, 양파 20g, 당근 15g, 샐러리 10g, 파슬리 10g, 우유 약간, 식용유 약간","소금 약간, 후춧가루 약간",한식,241kcal
