food_number,food_name,recipe,serving_number,level
163,티포크쌈,"1. 물 10컵에 녹차를 풀어 녹차물을 우려준다.
2. 돼지고기 덩어리에 다진 마늘을 고루 발라준다.
3. 우러난 녹차물에 된장 2와 1/2 큰술을 고운 체에 걸러 풀어준다.
4. 된장육수가 팔팔 끓으면 덩어리고기를 넣어 30~40분간 끓여준다.
5. 불을 줄이고 고기에 맛깔스러운 색이 베이도록 20분 가량 졸여준다.
6. 다 익은 고기를 꺼내어 식혀준 후 1cm 두께로 잘라 김치나 새우젓과 곁들여 먹는다.",2인분 기준,초보환영
164,편육파채무침,"1. 물에 된장을 풀고 대파 흰부분, 수삼 잔뿌리, 생강, 마늘, 돼지고기의 기름 부분이 바닥을 향하도록 넣고 1시간 정도 푹 삶아 준다.
2. 대파, 깻잎, 밤, 대추, 양파를 곱게 채 썰어 양념장에 버무린다.
3. 돼지고기를 먹기 좋은 크기로 자른 다음 접시에 둘러 담고 가운데 파무침을 담는다.",4인분 기준,초보환영
165,갖은나물,"1. 고사리는 단단한 줄기를 떼어낸다.
2. 도라지는 연한 소금물에 담가 물기를 짜고 찢는다.
3. 참나물, 시금치는 끓는 소금물에 숙주는 끓는물에 데친 뒤 찬물에 헹구어 물기를 뺀다.
4. 식용유를 두른 프라이팬에 고사리, 도라지를 각각 볶다가 분량의 부재료를 넣어 볶는다.
5. 참나물, 시금치, 숙주는 각각 분량의 양념에 무친다.",2인분 기준,초보환영
166,골뱅이냉채,"1. 골뱅이는 끓는물에 살짝 데친다.
2. 대파, 깻잎, 양파, 오이는 체쳐서 찬물에 담가 놓는다.
3. 볼에 간장, 식초, 설탕, 고춧기름, 참기름, 레몬즙, 후춧가루, 통깨를 넣고 섞어서 소스를 만든다.
4. 먹기 직전에 소스에 버무려 상에 내 놓는다. 채소는 먹기 직전에 무쳐서 숨이 죽지 않게 한다.",2인분 기준,초보환영
167,골뱅이무침,"1. 골뱅이는 체에 밭쳐 물기를 뺀 다음 먹기 좋게 반으로 썬다.
2. 오이는 두께 0.5cm 통으로 썬다.
3. 대파와 당근은 두께 0.2cm, 가로x세로 0.2cm X 4cm 로 썬다.
4. 양파는 두께 0.5cm로 채썬다.
5. 샐러리는 두께 0.2cm 통으로 썬다.
6. 양념 재료를 섞어둔다.
7. 소면을 끓는 물에 삶아 낸 후 찬물에 식혀서 골뱅이, 오이, 파, 당근, 양파와 함께 양념에 버무린다.
8. 접시에 샐러리를 돌려 담고 ⑧을 놓는다.",2인분 기준,초보환영
168,골뱅이옥수수무침,"1. 골뱅이를 물기를 제거한 후 먹기 좋은 크기로 썰어 놓는다.
2. 양파는 채썰고, 깻잎은 돌돌 말아 채썰어 놓는다.
3. 오이도 길이로 반을 잘라 반달 채썰기를 한다.
4. 스위트콘은 체에 물기를 받쳐 놓는다.
5. 쪽파도 4cm길이로 썰어 놓고, 오징어포도 먹기 좋게 썰어 놓는다.
6. 청고추, 홍고추는 동그랗게 썰어 놓는다.
7. 양념장은 분량대로 섞어 놓은 후 위의 준비된 재료에 같이 버무려 먹는다.",2인분 기준,초보환영
169,냉이초무침,"1. 냉이는 다듬어 씻은 뒤 끓는 물에 살짝 데쳐 물기를 꼭 짠다.
2. 다진 파, 다진 마늘, 식초, 소금, 깨소금, 참기름을 넣어 양념을 만든다.
3. 냉이를 ②의 양념에 조물조물 무쳐낸다.",2인분 기준,초보환영
170,다시마채소말이,"1. 쌈다시마를 준비하여 물에 두 번 이상 씻어 소금기를 뺀 뒤 찬물에 담가 충분히 불린다.
2. 게맛살, 피망, 파프리카, 오이를 5cm 길이로 잘라 굵게 채썬다.
3. 오징어는 끓는 물에 데쳐서 체에 밭쳐 물기를 뺀 뒤 채소와 같은 길이로 채썬다.
4. 쌈다시마는 물기를 없앤 뒤 김발 위에 놓고 ②와 ③을 올려 김밥 말듯이 말아준다.
5. 먹기 좋게 썰어 접시에 담고 초고추장을 곁들여 낸다.
6. 초고추장을 준비하여 곁들여 낸다.",2인분 기준,초보환영
171,달래무침과냉이나물,"1. 달래는 다듬어 씻어서 얇은 껍질과 잔뿌리를 손질한 뒤 5cm길이로 자른다.
2. 냉이는 다듬어 잔뿌리를 손질한 다음 끓는 물에 소금을 약간 넣고 뚜껑을 연 채 살짝 데친 후 찬물에 헹궈 꼭 짜서 물기를 제거한다.
3. 분량의 양념 재료를 섞어 각각의 양념장을 만든다.
4. 달래는 먹기 직전에 양념장을 넣어 가볍게 무친다.
5. 데친 냉이에 양념장을 넣고 골고루 무친다.
6. 접시에 달래무침과 냉이나물을 담아 낸다.",2인분 기준,초보환영
172,달래오이무침,"1. 달래는 다듬어 씻어서 얇은 껍질과 잔뿌리를 손질한 뒤 3등분한다.
2. 오이는 깨끗이 씻어서 반으로 자른 뒤 어슷썬다.
3. 밤은 껍질을 벗기고 편으로 썬다.
4. 분량의 양념 재료를 섞어 양념장을 만든 뒤 먹기 직전에 ①, ②, ③을 버무려 낸다.",2인분 기준,초보환영
173,닭가슴살해파리샐러드,"1. 닭가슴살은 끓는물에 삶은 뒤 손으로 먹기좋게 찢어놓는다.
2. 해파리는 소금기를 씻어내고 끓는물에 삶아서 찬물에 식힌 후 설탕 2큰술, 소금 약간, 식초 2큰술, 물 8큰술을 섞어 담가둔다.
3. 홍고추, 청고추는 잘게 썰어놓는다.
4. 그릇에 물 3큰술, 식초 4큰술, 참기름 1작은술, 간장 1작은술, 소금 약간, 설탕 2큰술, 꿀 2큰술, 홍고추, 청고추를 넣고 잘 섞어 소스를 만든다.
5. 오이와 레몬은 편으로 얇게 썰어놓는다.
6. ④의 소스에 찢어놓은 닭가슴살과 해파리를 묻힌 후 접시에 오이를 깔고 그 위에 담아낸다.",2인분 기준,초보환영
174,대파생채,"1. 대파는 적당한 길이로 잘라 얇게 채 썬다.
2. ①을 찬물에 담가 진액을 제거한다.
3. ②를 체에 밭쳐 물기를 뺀 뒤, 먹기 직전에 분량의 양념재료를 넣고 새콤달콤하게 무친다.",2인분 기준,초보환영
175,도라지생채,"1. 도라지는 껍질을 벗기고 가늘게 찢어 소금으로 박박 문질러 씻어 쓴맛을 뺀다.
2. 찬물에 담가 아린 맛을 뺀후 2~3번 헹구어 물기를 뺀다.
3. 도라지에 고춧가루를 넣고 주물러 빨갛게 물들인다.
4. 도라지에 고루 물이 들면 소금, 설탕, 식초, 참기름, 파, 마늘로 양념하여 골고루 무친다.",4인분 기준,초보환영
176,도라지오이생채,"1. 오이는 반으로 갈라 어슷썰고 소금에 5분 정도 절인 다음 찬물에 헹궈 물기를 꼭 짠다.
2. 도라지는 소금을 넣어 주물러 쓴맛을 우려낸다.
3. 쓴 맛이 빠진 도라지는 물기를 꼭 짠 후 고춧가루를 넣고 색깔이 나게 무친다.
4. 무친 도라지와 오이를 섞어 다진 파, 마늘 ,설탕, 소금, 깨소금, 식초로 양념하여 같이 무친다.",4인분 기준,초보환영
177,도토리묵무침,"1. 도토리묵은 반 갈라 1cm두께로 썰어 소금을 살짝 뿌려 놓는다.
2. 김은 구워 잘게 부수고 풋고추는 어슷썬다.
3. 야채는 한 입 크기로 적장하게 썰어 다진마늘과 참기름으로 무친다.
4. 간장 3큰술에 다진 마늘, 참기름을 제외한 분량의 양념 재료를 고루 섞어 양념장을 만든다.
5. 묵에 ③과 김, 고추를 섞고 양념장을 끼얹어 무친다.
6. 그릇에 ⑤의 묵을 돌려 담고 가운데 양념한 야채를 담아 실고추를 얹어 마무리한다.",4인분 기준,초보환영
178,돌나물달래샐러드,"1. 돌나물을 이물질을 제거하고 깨끗하게 씻는다.
2. 달래도 이물질을 제거하고 깨끗하게 씻는다.
3. 오이는 깨끗하게 씻은 후 반달썰기를 하여 준비한다.
4. 샐러드오일 2큰술, 간장 1큰술, 식초 1큰술, 레몬즙, 청량고추즙 2큰술, 양파즙, 설탕 1큰술, 소금 약간으로 샐러드 소스를 만든다.
5. 위의 재료를 체에 밭쳐 물기를 제거한 후 소스에 맛있게 무쳐낸다.",2인분 기준,초보환영
179,두릅된장무침,"1. 두릅은 연한 것으로 겉껍질을 벗겨 내고 깨끗이 손질하여 끓는 소금물에 데쳐 낸 다음 찬물에 헹구어 꼭 짜 놓는다.
2. 파와 마늘은 곱게 다져 놓는다.
3. 된장에 다진 파, 마늘, 참기름, 깨소금 등을 넣어 양념장을 만든다.
4. 큰 볼에 데쳐낸 두릅과 양념장을 조물조물 무쳐낸다.",2인분 기준,초보환영
180,두릅숙회,"1. 두릅을 손질한 후 살짝 데친다.
2. 미나리는 끓는 물에 살짝 데친다. 홍고추는 씨를 빼고 굵게 채를 썬다.
3. 계란은 노른자와 흰자로 나누어 지단을 부친 다음 두껍게 채를 썬다.
4. 초고추장을 만든다.
5. 두릅에 지단채와 홍고추를 올리고 미나리로 묶는다.
6. 접시에 담아 초고추장을 곁들여 낸다.",2인분 기준,초보환영
181,두부미역냉채,"1. 두부는 6등분하여 끓는 물에 살짝 데친 뒤 물기를 제거하여 냉장고에 넣어 차게 식힌다.
2. 미역은 충분히 불려 다져 놓는다.
3. 양파는 곱게 다져서 물에 씻어 매운기를 뺀뒤 물기를 꼭 짠다.
4. 홍고추는 곱게 다지고 분량의 양념 재료를 섞어 소스를 만들어둔다.
5. 차게 해놓은 두부는 접시에 보기좋게 담는다.
6. 두부 위에 다진 미역을 얹고, 그 위에 다진 양파와 홍고추를 얹고 소스를 끼얹어 낸다.",2인분 기준,초보환영
182,두부채소냉채,"1. 두부는 1cm 정도의 두께로 썰어 깨끗한 행주로 물기를 제거한 후 소금으로 약하게 간하여 프라이팬에 노릇하게 지져낸다.
2. 지져낸 두부는 열기를 식혀 냉장고에 차게 보관한다.
3. 쇠고기는 편육용으로 삶아 식힌다. (삶을 때는 쇠고기의 냄새를 없애기 위해 마늘, 통후추 등을 소량 넣어 준다)
4. 양배추, 오이, 당근, 쇠고기, 두부는 길이 5cm, 넓이 2cm 정도의 막대모양으로 썬다.
5. 땅콩가루 1큰술, 식초 1큰술, 간장 1/2큰술, 갠겨자 1/2큰술, 황설탕 1/2큰술, 소금, 참기름약간을 믹서기에 넣고 곱게 갈아 땅콩겨자소스를 만들어 차게 보관해 둔다.
6. 접시에 위의 재료를 보기좋게 담은 후 땅콩겨자소스를 곁들여 낸다.",2인분 기준,초보환영
183,무생채,"1.무는 5cm 길이로 곱게 채를 썬다.
2. 다진마늘, 다진파를 비롯한 분량의 양념 재료를 넣고 양념장을 만든다.
3. 양념장이 만들어지면 무를 넣고 무친다.
4. 그릇에 담아낼때 깨소금을 약간 뿌려서 낸다.",2인분 기준,초보환영
184,무쌈말이,"1. 비트는 칼로 잘 깎아 믹서기에 곱게 갈아둔다.
2. 절임 무는 갈아 놓은 비트에 물을 들인다.(밀폐용기에 무를 담고 비트를 담고 꾸욱 눌러주면 물에 물이 든다)
3. 오이는 돌려깎기해서 썰고 당근, 파프리카, 표고버섯, 햄은 채썰어 준비한다.
4. 계란은 지단을 부쳐 식으면 채썬다.
5. 준비한 채소들은 볶아 한 김 나가게 식혀둔다.
6. 비트에 절인 무는 물기를 제거하고 준비한 채소들을 담고 돌돌 말아준다.
7. 땅콩버터 소스를 만들어 곁들여 낸다.",2인분 기준,초보환영
185,묵과양념장,"1. 도토리묵과 청포묵, 오이, 게맛살을 사방 1.5cm 크기로 썬다.
2. 분량의 양념장을 만든다.
3. 준비한 재료를 그릇에 담고 양념장을 끼얹는다.",2인분 기준,초보환영
186,미나리꼬막간장무침,"1. 꼬막은 소금물에 1시간 이상 해감한 후 끓는 물에 삶는다. 입이 벌어지면 체에 쏟아 속살이 달리지 않은 쪽 껍데기를 딴다.
2. 미나리는 1cm 길이로 송송 썰고, 고추는 잘게 다진 후 분량의 양념장과 잘 섞는다.
3. 꼬막 속살 위에 ②를 조금씩 올려 낸다.",4인분 기준,초보환영
187,사색나물,"1. 도라지는 잘게 찢어 소금물에 삶아 내고 씻어 물기를 짜 놓는다.
2. 고사리는 억센 부분을 잘라내고 다듬어 6~7cm 길이로 썬다.
3. 시금치는 끓는 소금물에 데쳐 찬물에 헹구어 물기를 짜놓는다.
4. 콩나물은 깨끗이 씻어 끓는물에 데쳐 물기를 짜놓는다.
5. 도라지, 시금치, 콩나물은 소금, 깨소금, 참기름, 다진 파, 마늘, 들깻가루로 양념하여 조물조물 묻힌다.
6. 프라이팬에 기름을 살짝 두르고 고사리를 볶다가 간장, 물, 깨소금, 다진 파, 다진 마늘 등을 넣어 촉촉하게 양념하면서 볶는다.",2인분 기준,초보환영
188,상추채소무침,"1. 들깻잎, 엽상치, 쑥갓 등은 먹기 좋은 크기로 뜯어놓는다.
2. 대파, 마늘은 다진다.
3. ①을 싱싱하게 하기위해 물에 담가둔다.
4. 고운 고춧가루 1작은술, 설탕 1/2작은술, 소금, 식초 1/2작은술, 조림간장 1/4작은술, 깨소금, 참기름으로 양념장을 만든다.
5. 물에서 채소를 건져내어 물기를 없앤 후 ④의 양념장에 묻혀낸다.",2인분 기준,초보환영
189,새우겨자채,"1. 새우를 삶은 후, 껍질을 제거하고 포를 떠 놓는다.
2. 겨자소스는 겨자, 식초, 설탕을 넣고 잘 섞은 후 소금으로 간하여 만든다.
3. 나머지 채소는 채를 썰어 접시 위에 가지런히 놓고 그 위에 새우를 얹는다.
4. 곁들인 겨자소스를 뿌린 뒤 버무려 먹는다.",2인분 기준,초보환영
190,송어샐러드,"1. 접시에 양상추와 무순, 파슬리, 오이 등 신선한 채소를 담는다.
2. 채소 위에 송어를 얹는다.
3. 피클, 파인애플, 마늘, 양파, 꿀을 넣고 믹서에 갈아 드레싱소스를 만든다.
5. 샐러드와 드레싱을 곁들여 그릇에 낸다.",4인분 기준,초보환영
191,숙주미나리무침,"1.숙주나물은 숙주의 머리, 뿌리를 제거한 후 끓는 물에 소금을 약간 넣고 살짝 데친다.
2. 미나리는 불순물을 깨끗이 제거하기 위해 소금과 식초를 넣은 물에 잠시 담갔다가 살짝 데친 후 물기를 꽉 짜준다.
3. 파와 마늘은 곱게 다지고 홍고추는 링모양으로 썬 후 씨를 털어낸다.
4. 위의 숙주와 미나리, 다진 파, 마늘을 섞어 소금, 깨소금, 참기름 등을 넣어 양념한다.",2인분 기준,초보환영
192,시금치무침,"1. 시금치는 깨끗하게 손질한다.
2. 끓는 물에 소금을 넣고 손질한 시금치를 살짝 데쳐낸다.
3. 데친 시금치를 흐르는 물에 모래가 없도록 잘 씻는다.
4. 물기를 제거하고 소금으로 간을 한 후 참기름과 통깨를 넣어 버무린다.",2인분 기준,초보환영
193,오이나물,"1. 오이는 가는 것으로 골라 소금으로 문질러 씻고 0.3cm 두께로 얄팍하게 썬다.
2. 파와 마늘은 곱게 다지고 실고추는 3cm 길이로 짧게 끊어놓는다.
3. 오이는 소금 2작은술로 절였다가 물에 살짝 헹구어 꼭 짠다.
4. 팬을 달구어 참기름을 두르고 절인 오이를 넣어 볶아 낸다.
5. 기름이 돌면 다진 파, 마늘, 깨소금, 실고추를 넣고 잠깐 볶아서 넓은 그릇에 펼쳐 식힌다.",4인분 기준,초보환영
194,오징어도라지생채,"1. 도라지는 껍질을 벗겨 가늘게 찢고 소금으로 주물러 쓴 맛을 없애준다.
2. 오이는 반을 갈라 어슷 썬다.
3. 오징어는 껍질을 벗긴 후 4cm 길이로 가늘게 채썰어 끓는 물에 살짝 데쳐낸다.
4. 분량의 양념 재료를 잘 섞어 양념장을 만든후 손질한 재료를 모두 넣어 무친다.
5. 마지막에 참기름 한 방울과 깨소금을 넣어 무쳐서 상에 낸다.
*사진제공: 메뉴판닷컴 패널 요리인 근땡이",2인분 기준,초보환영
195,오징어숙회,"1. 오징어는 다리를 떼어 내고 껍질을 벗긴 다음 칼집을 주고 끓는 물에 데친다.
2. 분량의 양념재료로 초고추장을 만든다.
3. 데쳐 낸 오징어와 초고추장을 곁들여 낸다.",2인분 기준,초보환영
196,오징어와마늘소스,"1. 오징어는 내장을 빼고 껍질을 벗겨서 안쪽에 칼집을 넣어 가로 2cm, 세로 5cm로 썬다.
2. 다리는 5cm 길이로 썬다.
3. 깻잎은 얇게 채썰어 찬물에 담갔다가 물기를 뺀다.
4. 분량의 재료로 마늘 소스를 만든다.
5. 오징어는 끓는 물에 소금을 약간 넣고 살짝 데쳐서 물기를 뺀다.
6. 그릇에 오징어와 깻잎을 담고 마늘 소스를 끼얹는다.",2인분 기준,초보환영
197,오징어초말이,"1. 오징어는 껍질을 벗기고 안쪽에 촘촘하게 칼집을 낸 후 끓는 물에 살짝 데쳐낸다.
2. 당근은 가늘게 채썬 후 끓는 소금물에 살짝 데친다.
3. 오이는 가늘게 채썰고 표고도 물에 불린 후 채썬다.
4. 계란은 소금 간을 하고 잘 풀어 지단을 부쳐가며 말아, 1cm 두께로 길게 썰어둔다
5. 오징어 안에 준비된 재료들을 넣고 돌돌 말아 초간장을 곁들여 낸다.",2인분 기준,초보환영
198,우묵냉채,"1. 우묵은 먹기 좋은 크기로 채를 썰어 준비한다.
2. 다시마, 다듬은 멸치로 육수를 낸 후 소금으로 간한다.
3. ②의 육수가 어느정도 식으면 냉장고에 넣어 시원한 국물로 만든다.
4. 오이는 5cm 정도로 돌려깎기 하여 채썬다.
5. 분량의 재료로 양념장을 만든다.
6. 그릇에 우묵과 오이를 넣어 차가워진 육수를 넣고 양념장을 끼얹는다.",2인분 기준,초보환영
199,유부냉채,"1. 유부는 끓는 물에 살짝 데쳐 0.5cm 두께로 채썬다.
2. 오이는 소금물에 비벼 씻은 뒤 돌려깎기 하여 채썬다.
3. 맛살도 오이 크기로 썰고 숙주는 머리와 꼬리를 떼어내고 끓는 물에 데친다.
4. 물 3큰술, 설탕 1큰술, 식초 1큰술, 참기름, 소금 1작은술, 진간장 1/3작은술, 마늘 1큰술을 섞어 마늘소스를 만든다.
5. 모든 재료를 섞어서 그릇에 담고 마늘 소스를 곁들인다.",2인분 기준,초보환영
200,육회,"1. 냉동 쇠고기(우둔살)를 얇게 채썬다.
2. 양념 재료를 섞어 양념을 만들고, 그릇에 썰어놓은 쇠고기를 담고 양념을 뿌려 잘 버무린다.
3. 접시에 상추를 깔고 양념한 쇠고기를 동그랗게 모양내어 담은 뒤 윗부분에 엄지손가락으로 오목하게 홈을 만든다.
4. 홈에 날계란 노른자를 얹는다. 노른자 둘레에는 잣가루를 뿌리고 노른자 윗부분을 잣으로 장식한다.
5. 배와 오이를 길이 5cm, 폭 4mm로 채썰어 양 끝을 가지런히 모아 칼로 정리한다.
6. 배와 오이로 주변을 장식하여 마무리한다.",2인분 기준,초보환영
201,전어회무침,"1. 전어는 비늘을 제거하고 머리, 지느러미, 꼬리, 내장을 깨끗이 제거한다.
2. 손질한 전어를 흐르는 물에 깨끗이 씻은 후 물기를 완전히 제거한다.
3. 무는 가늘게 채썰고, 미나리는 5cm 길이로 자른다.
4. 양파는 굵게 채썰고 청고추는 어슷썬다.
5. 콩가루, 고춧가루, 식초, 고추장, 다진 마늘, 설탕을 넣어 양념장을 만든다.
6. ②의 전어를 통채 먹기좋은 크기로 썬 후 ③과 ④를 넣고 ⑤의 양념장을 넣고 무친다.",2인분 기준,초보환영
202,죽순회와미나리강회,"1. 죽순은 껍질 벗긴 후 쌀뜨물이나 밀가루 푼 물에 10분정도 데쳐 죽순의 아린맛을 제거한다.
2. 죽순은 빗살무늬로 얇게 썰어서 물기를 제거한다.
3. 미나리는 끓는 물에 소금을 넣고 살짝 데친 후 물기를 제거한다.
4. 계란은 황백으로 나눈 후 각각의 지단을 부치고 5cm x 0.5mm 폭으로 얇게 채썬다. 홍고추도 황백지단과 같은 크기로 채썰어준다.
5. 채썬 황백지단을 4~5줄기 정도 적당히 집고 홍고추는 한 두개 정도만 끼워넣어 미나리줄기로 돌돌 만 후 미나리 끝부분을 속으로 집어넣어 마무리해준다.
6. 분량의 재료로 초고추장을 만든다.
7. ②의 죽순은 초고추장에 버무린다.
8. 그릇에 ⑦의 죽순회무침과 ⑤의 미나리강회를 모양있게 담고 초고추장을 곁들여 담아낸다.",2인분 기준,초보환영
203,차돌박이겉절이무침,"1. 차돌박이는 색깔이 선명하고 희고 기름진 부위가 많은 것을 준비하여 얇게 썰어 놓는다.
2. 간장, 청주, 배즙, 설탕, 참기름, 다진 마늘, 생강즙, 후춧가루를 섞어 만든 양념장으로 차돌박이를 양념해 잠시 재운다.
3. 얼갈이 배추, 부추, 다진 마늘, 다진 파 등은 먹기 좋게 손질한다.
4. 고운 고춧가루에 액젓, 다진 파, 다진 마늘, 설탕, 참기름, 통깨를 잘 섞어 양념장을 촉촉히 만든 다음 손질한 겉절이를 무쳐둔다.
5. 팬이 어느정도 달궈지면 센불에서 타지 않게 차돌박이를 구워낸다.",2인분 기준,초보환영
204,참나물간장무침,"1. 참나물은 깨끗이 다듬어 씻어서 끓는 물에 삶아 찬물에 헹구어 물기를 꼭 짠다.
2. 마늘과 파는 다져 놓는다.
3. 간장에 다진 파, 마늘, 깨소금, 후춧가루, 참기름을 넣어 양념간장을 만든다.
4. 삶은 참나물에 ③의 양념간장을 넣어 골고루 간이 배도록 무쳐 접시에 담아 낸다.",2인분 기준,초보환영
205,참나물고추장무침,"1. 참나물은 깨끗이 다듬어 끓는 물에 삶아 찬물에 헹구어 물기를 꼭 짠다.
2. 고추장에 다진 파, 다진 마늘, 깨소금, 참기름을 넣어 양념 고추장을 만든다.
3. 삶아 놓은 참나물에 ②의 양념장을 넣어 골고루 버무린다.",2인분 기준,초보환영
206,채소무침,"1. 쌈 야채를 흐르는 물에 씻어 5분정도 찬물에 담궈둔다.
2. 물기를 뺀 야채를 한 입 크기로 자르고 양파와 오이도 모양대로 얇게 썰어 준비한다.
3. 발효초를 비롯한 분량의 양념 재료를 섞어 소스를 만든다.
4. 야채와 소스를 가볍게 버무려 접시에 담아낸다.",2인분 기준,초보환영
207,청경채닭살무침,"1. 청경채는 한 잎씩 떼어 깨끗이 씻는다.
2. 냄비에 소금과 식용유를 한방울 씩 넣고 청경채는 뿌리부터 넣고 살짝 데친다.
3. 데쳐낸 후 체망에 넓게 펴놓고 그대로 식힌다.
4. 닭가슴살은 맛술과 소금, 후춧가루를 뿌려 10분 정도 재워두었다가 달군 석쇠나 팬에서 중간 불로 한 쪽을 완전히 익힌 다음 뒤집어 속까지 익혀 식힌다.
5. 식으면 길이대로 가늘게 찢어두고 양념장(간장2/3큰술, 생강즙1/2작은술, 식초1작은술, 설탕1작은술, 참기름, 통깨 약간)에 오물조물 묻힌다.",2인분 기준,초보환영
208,초고추장쑥무침,"1. 쑥은 질긴 부분을 없애고 끓는 물에 데친 후 물기를 짠다.
2. 미나리는 끓는 물에 데친 후 물기를 짜고 4㎝ 길이로 썬다.
3. 분량의 양념장을 만든다.
4. 쑥, 미나리, 양념장을 함께 넣고 버무린다.",2인분 기준,초보환영
209,탕평채,"1. 청포묵은 굵게 채썰어 끓는 물에 데쳐낸 뒤 참기름과 소금으로 간을 한다.
2. 쇠고기는 가늘게 채썰어 쇠고기양념을 해서 국물 없이 볶아 식힌다.
3. 숙주는 머리와 꼬리를 떼어내고, 미나리는 데친다.
4. 김은 바싹 구워 잘게 자르고, 계란은 노른자와 흰자를 분리해서지단을 부쳐 채썰어 고명으로 준비한다.
5. 계란지단, 미나리, 숙주, 쇠고기를 돌려 담고 중앙에 ①의 청포묵을 담고 마지막으로 김을 얹는다.
6. 분량의 재료를 섞어 초간장을 만들어 함께 곁들여 먹기 직전에 비벼 먹는다.",2인분 기준,초보환영
210,팽이버섯냉채,"1. 팽이버섯은 밑동을 잘라내고 흐르는 물에 씻으면서 가닥가닥을 떼어내고 체에 밭쳐 물기를 제거한다.
2. 토마토는 1cm x 1cm로 썰고, 오이는 길이 5cm로 돌려 깎아 채썬 후 차가운 물에 살짝 담갔다가 물기를 제거한다.
3. 게맛살도 오이와 같은 길이로 준비하여 손으로 잘게 찢어놓는다.
4. 분량의 양념 재료를 넣고 잘 섞어 깨소스를 만들어준다.
5. 준비해둔 팽이버섯, 오이, 게맛살, 토마토를 섞어 먹기 직전에 깨소스에 버무려 낸다.",2인분 기준,초보환영
211,해물잣소스무침,"1. 새우는 내장을 제거하고 오징어는 껍질을 제거하고 칼집을 넣어서 약 3cm 길이로 자른다.(끓는물에 한번 데친 후 찬물에 식힌다)
2. 오이, 당근은 껍질을 제거하고 2~3cm 길이로 썬다. 배와 사과도 같은 크기로 썰어 준비해놓는다.
3. 비트와 당근은 얇게 채썰어 놓는다.
4. 잣, 땅콩은 약간의 물을 부어 갈아서 설탕과 소금으로 간을 한다.
5. 갈아놓은 ④에 재료를 섞어서 그릇에 담고 채친 당근, 비트를 올리고 마무리 한다.",2인분 기준,초보환영
212,해파리냉채,"1. 해파리는 먼저 소금물에서 3시간 정도 우려서 짠맛을 뺀 뒤 냉수에 헹궈 50℃ 정도의 따뜻한 물에 담근다. 해파리가 쪼글쪼글해지면 다시 물을 갈아 담갔다가 소쿠리에 건져 물기를 꼭 짠다.
2. 넓고 큰 것은 가로 세로 10cm 정도로 잘라 둥글게 말아 가늘게 채썬다. 찬물에 헹궈내어 물기를 꼭 짜서 냉장고에 차게 둔다.
3. 오이는 굵은 소금으로 문질러 씻은 후 가늘게 채썰어 찬물에 10분 정도 담갔다 건진다.
4. 게맛살은 채썬 해파리와 같은 굵기로 결대로 찢는다.
5. 곁들일 토마토는 단면으로 약간 도톰하게 썬다.
6. 소스는 다진 마늘에 분량의 식초, 육수, 설탕, 간장, 소금, 참기름을 넣고 고루 섞는다.
7. 상에 내기 직전에 해파리, 오이, 게맛살을 섞어 마늘소스로 고루 버무린다. 이 때 마늘소스는 따로 조금 담아 내고 개인접시를 준비해서 낸다.",4인분 기준,초보환영
213,해파리새우말이냉채,"1. 해파리는 물에 담가 짠맛을 제거한다.
2. 새우는 머리를 떼고 모양이 휘지않게 꼬치로 고정시킨다.
3. 1의 해파리를 미지근한 물에 살짝 한번 데친 후 찬물에 헹궈 설탕 3큰술, 식초 3큰술, 물 2큰술에 담가놓는다.
4. 오이, 당근, 맛살 등의 채소는 길이 6cm 정도로 일정하게 채를 썰어놓는다.
5. 설탕 5큰술, 식초 5큰술, 소금 1작은술, 겨자 1큰술을 섞어 소스를 만들어 ④의 채소와 ③의 해파를 양념하여 무친다.
6. 새우는 껍질을 제거하고 등쪽에 칼집을 넣는다.
7. 칼집 넣은 새우에 오이, 당근을 끼워 고정시키기 위해 해파리로 감는다.",2인분 기준,초보환영
214,해파리해물냉채,"1. 해파리는 먼저 옅은 소금물에 10분간 담그고 끓는물에 데친다.
2. 물에 데친 해파리는 식초, 설탕물에 5분 정도 담근 후 물기를 제거해 준비한다.
3. 쭈꾸미는 끓는물에 살짝 데쳐 식힌다.
4. 새우도 내장과 껍질을 제거한 후 살짝 데쳐 식힌다.
5. 겨자 2큰술, 머스터드 1/2큰술, 마늘, 식초, 간장, 소금, 참기름을 섞어 해파리 겨자소스를 만든다
7. 오이, 당근, 피망, 계란 지단은 5cm 길이로 채썬다.
8. 접시에 ⑦번을 나란히 담고 그 위에 해파리를 담은 후 소스를 끼얹어 낸다.",2인분 기준,초보환영
215,해파리해물냉채,"1. 해파리는 먼저 옅은 소금물에 10분간 담그고 끓는 물에 데친다.
2. 물에 데친 해파리는 식초, 설탕물에 5분 정도 담근 후 물기를 제거해 준비한다.
3. 쭈꾸미는 끓는물에 살짝 데쳐 식힌다.
4. 새우도 내장, 껍질 제거 후 살짝 데친 후 식힌다.
5. 겨자2큰술, 머스터드1/2큰술, 마늘, 식초, 간장, 소금 참기름을 섞어 해파리 겨자 소스를 만든다.
7. 오이, 당근, 피망, 계란지단은 5cm 길이로 채친다.
8. 접시에 ⑦을 나란히 담고 그 위에 해파리를 담은 후 소스를 끼얹어 낸다.",2인분 기준,초보환영
